,Country,Industry,Business Area,Legal Entity Name,Financial Year,Is Current Quarter?,Quarter,Planned Sales Revenue,Sales Revenue,Sales Revenue (Forecasted),Planned Service Revenue,Service Revenue,Service Revenue  (Forecasted),Planned Non Service Revenue,Non Service Revenue,Non Service Revenue (Forecasted),Planned Total Revenue,Total Revenue,Total Revenue (Forecasted),Planned COGS,COGS,COGS (Forecasted),Planned Administrative Expenses,Administrative Expenses,Administrative Expenses (Forecasted),Planned Third Party Expenses,Third Party Expenses,Third Party Expenses (Forecasted),Planned Other Expenses,Other Expenses,Other Expenses (Forecasted),Planned Total Expense,Total Expense,Total Expense (Forecasted),Planned Gross Margin,Gross Margin,Gross Margin (Forecasted),Planned Gross Margin %,Gross Margin %,Gross Margin % (Forecasted),Planned R&D Expenses,R&D Expenses,R&D Expenses (Forecasted),Planned Sales Cost,Sales Cost,Sales Cost (Forecasted),Planned Other Operating Expenses,Other Operating Expenses,Other Operating Expenses (Forecasted),Planned Operating Margin,Operating Margin,Operating Margin (Forecasted),Planned Operating Margin %,Operating Margin %,Operating Margin % (Forecasted),Planned Depreciation,Depreciation,Depreciation (Forecasted),Planned Interest,Interest,Interest (Forecasted),Planned Tax,Tax,Tax (Forecasted),Planned Net Margin,Net Margin,Net Margin (Forecasted),Planned Net Margin %,Net Margin %,Net Margin % (Forecasted),Planned Adjustment to Income,Adjustment to Income,Adjustment to Income (Forecasted),Planned Inventory,Inventory,Inventory (Forecasted),Planned Cash Flow from Operating Activities,Cash Flow from Operating Activities,Cash Flow from Operating Activities (Forecasted),Planned Capex,Capex,Capex - Forecasted,Planned Investments,Investments,Investments - Forecasted,Planned Cash Flow from Investment Activities,Cash Flow from Investment Activities,Cash Flow from Investment Activities (Forecasted),Dividends Paid,Sale/ Repurchase of Shares,Increase in Debt,Exchange Rate Gain/ Loss,Planned Cash Flow from Financial Activities,Cash Flow from Financial Activities,Cash Flow from Financial Activities Forecasted,Planned Net Cash Flow,Net Cash Flow,Net Cash Flow Forecasted,Planned Cash In Hand,Cash In Hand,Cash In Hand Forecasted,Planned Net Assets,Net Assets,Net Assets Forecasted,Planned Other Trade Debts,Other Trade Debts,Other Trade Debts Forecasted,Planned Net Liabiities,Net Liabiities,Net Liabiities Forecasted,Planned Net Working Capital,Net Working Capital,Net Working Capital Forecasted
0,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2018,N,Q1,65633154,69670033,65633154,,,,,,,65633154,69670033,65633154,22338306,22511300,22338306,23752437,15132653,23752437,8113933,5834852,8113933,2245953,1263888,2245953,56450629,44742693,56450629,9182525,24927340,9182525,14%,36%,14%,1503113,2014156,1503113,10284581,10801911,10284581,1907166,4240204,1907166,-4512335,7871069,-4512335,-7%,11%,-7%,2931212,2721688,2931212,6068116,5981415,6068116,0,1574214,0,-7649239,3037128,-7649239,-12%,4%,-12%,345175,71547,345175,9274966,9169849,9274966,8039018,19834153,8039018,-5852836,-7088006,-5852836,-7106084,-2317951,-7106084,-12958920,-9405957,-12958920,,,,,2714099,9450495,2714099,-2205803,19878691,-2205803,1394701,3757899,1394701,76302821,82597781,76302821,1849852,1959875,1849852,71995341,63758839,71995341,4307480,18838942,4307480
1,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2018,N,Q2,64065202,69633059,64065202,,,,,,,64065202,69633059,64065202,21795973,20223120,21795973,25254296,26666540,25254296,6566866,8562865,6566866,1748689,1786252,1748689,55365824,57238777,55365824,8699378,12394282,8699378,14%,18%,14%,2690042,2682484,2690042,10101879,11707094,10101879,2757386,4902388,2757386,-6849929,-6897684,-6849929,-11%,-10%,-11%,2524617,1191909,2524617,7082492,5552971,7082492,0,0,0,-11407804,-11258746,-11407804,-18%,-16%,-18%,111035,102793,111035,5978786,6166816,5978786,1764509,563834,1764509,-8071785,-1100002,-8071785,-8115530,-8553981,-8115530,-16187315,-9653983,-16187315,,,,,264537,1276879,264537,-14158269,-7813270,-14158269,1277628,1495237,1277628,71321616,77295112,71321616,3408297,1779027,3408297,74323428,78309770,74323428,-3001812,-1014658,-3001812
2,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2018,N,Q3,64230179,62574678,64230179,,,,,,,64230179,62574678,64230179,29046210,23108432,29046210,18665331,25510113,18665331,7079418,7451206,7079418,2475269,1747357,2475269,57266228,57817108,57266228,6963951,4757570,6963951,11%,8%,11%,2653505,1486132,2653505,14003119,13662646,14003119,1621289,2821469,1621289,-11313962,-13212677,-11313962,-18%,-21%,-18%,1034124,2880286,1034124,7496222,7880084,7496222,0,0,0,-17776060,-18212475,-17776060,-28%,-29%,-28%,440606,402093,440606,7441220,9302719,7441220,-2398012,-627579,-2398012,-8484151,-7346389,-8484151,-3810627,-7109482,-3810627,-12294778,-14455871,-12294778,,,,,3868756,905224,3868756,-10824034,-14178226,-10824034,4412657,3543301,4412657,76084056,75420698,76084056,2404386,3252055,2404386,77948527,79039410,77948527,-1864471,-3618712,-1864471
3,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2018,N,Q4,64874815,63257265,64874815,,,,,,,64874815,63257265,64874815,24591583,15930325,24591583,15316333,23388936,15316333,9532013,5971454,9532013,1009760,2456624,1009760,50449689,47747339,50449689,14425126,15509926,14425126,22%,25%,22%,2719841,2641689,2719841,13200551,12357287,13200551,4348777,4240174,4348777,-5844043,-3729224,-5844043,-9%,-6%,-9%,2262517,2967261,2262517,7843977,7250522,7843977,0,0,0,-11425503,-8012485,-11425503,-18%,-13%,-18%,114615,200798,114615,9892146,5885689,9892146,6425235,5324524,6425235,-8023214,-6468636,-8023214,-5370282,-8159825,-5370282,-13393496,-14628461,-13393496,,,,,5238324,7789914,5238324,-1729937,-1514023,-1729937,3582512,4440541,3582512,78349473,73583495,78349473,2891247,2707150,2891247,73610105,69693639,73610105,4739368,3889856,4739368
4,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2019,N,Q1,65853002,67774286,65853002,,,,,,,65853002,67774286,65853002,20021129,27800912,20021129,24294307,23626417,24294307,9621040,7396838,9621040,2983846,1606583,2983846,56920322,60430750,56920322,8932680,7343536,8932680,14%,11%,14%,1073193,2598586,1073193,13272819,13873639,13272819,3207473,4201219,3207473,-8620805,-13329908,-8620805,-13%,-20%,-13%,2539326,1056446,2539326,6077301,6518808,6077301,0,0,0,-12158780,-18792270,-12158780,-18%,-28%,-18%,272632,96562,272632,5185128,7750317,5185128,-623719,-4426583,-623719,-8355663,-2447369,-8355663,-1679230,-8402312,-1679230,-10034893,-10849681,-10034893,,,,,1290441,7550132,1290441,-9368171,-7726132,-9368171,1401177,3577635,1401177,72439307,79102238,72439307,3774223,1626799,3774223,78248030,82730993,78248030,-5808723,-3628755,-5808723
5,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2019,N,Q2,63093787,66836083,63093787,,,,,,,63093787,66836083,63093787,23129402,29632139,23129402,22832234,15899078,22832234,7908885,9713634,7908885,2582642,2214168,2582642,56453163,57459019,56453163,6640624,9377064,6640624,11%,14%,11%,1988592,2129973,1988592,11053524,13316241,11053524,1147613,3415372,1147613,-7549105,-9484522,-7549105,-12%,-14%,-12%,2456895,2164143,2456895,6611029,5001371,6611029,0,0,0,-11703239,-12321750,-11703239,-19%,-18%,-19%,490496,493137,490496,6601893,5186115,6601893,2000179,-1641127,2000179,-8533250,-4545990,-8533250,-2222087,-3887961,-2222087,-10755337,-8433951,-10755337,,,,,4436719,4031117,4436719,-4318439,-6043961,-4318439,3841637,2407697,3841637,73537317,74429895,73537317,2615240,2859924,2615240,73258132,79180529,73258132,279185,-4750634,279185
6,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2019,Y,Q3,70412685,63018004,70412685,,,,,,,70412685,63018004,70412685,25208373,18098635,25208373,21153594,25975140,21153594,8032600,6232370,8032600,2832157,1218416,2832157,57226724,51524561,57226724,13185961,11493443,13185961,19%,18%,19%,2279339,2205581,2279339,12360663,10012069,12360663,4685286,3953747,4685286,-6139327,-4677954,-6139327,-9%,-7%,-9%,1859697,2125973,1859697,6792982,5969725,6792982,0,0,0,-11072612,-8521706,-11072612,-16%,-14%,-16%,426807,136497,426807,5557863,9023162,5557863,1705040,6607678,1705040,-7711051,-8985627,-7711051,-5838556,-9051539,-5838556,-13549607,-18037166,-13549607,,,,,8028410,1091550,8028410,-3816157,-10337938,-3816157,3360813,2768578,3360813,79331361,74809744,79331361,2535308,1574196,2535308,79087320,69270154,79087320,244041,5539590,244041
7,India,Metals,Non Ferrous,India Non Ferrous Ltd,FY2019,N,Q4,70701726,,70701726,,,,,,,70701726,0,70701726,23134264,,23134264,17243224,,17243224,9877457,,9877457,1480241,,1480241,51735186,0,51735186,18966540,0,18966540,27%,,27%,1650962,,1650962,14494035,,14494035,2909826,,2909826,-88283,0,-88283,0%,,0%,2650941,,2650941,5114803,,5114803,0,0,0,-2552145,0,-2552145,-4%,,-4%,141016,,141016,9432548,,9432548,12136222,0,12136222,-5245250,,-5245250,-5155178,,-5155178,-10400428,0,-10400428,,,,,9191443,,9191443,10927237,0,10927237,2142930,,2142930,82277204,0,82277204,1543660,,1543660,72333669,0,72333669,9943535,0,9943535
8,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2018,N,Q1,68880727,67380910,68880727,,,,,,,68880727,67380910,68880727,5833814,6422501,5833814,9630236,6383954,9630236,5725760,6732677,5725760,1847947,1303455,1847947,23037757,20842587,23037757,45842970,46538323,45842970,67%,69%,67%,2868386,1626821,2868386,10659361,13354431,10659361,4426216,4459302,4426216,27889007,27097769,27889007,40%,40%,40%,1826968,1205332,1826968,5307375,5229996,5307375,5577801,5419554,5577801,18830799,17653551,18830799,27%,26%,27%,95000,144489,95000,5400127,8960210,5400127,35211102,37407800,35211102,-8419871,-4139361,-8419871,-1936775,-6304552,-1936775,-10356646,-10443913,-10356646,,,,,,,0,24854456,26963887,24854456,1608234,1362614,1608234,75889088,77703734,75889088,1643638,2825804,1643638,42635358,43108945,42635358,33253730,34594789,33253730
9,Canada,Metals,Ferrous,Canada Ferrous Ltd,FY2018,N,Q2,63097571,68485075,63097571,,,,,,,63097571,68485075,63097571,6123885,7547015,6123885,5646720,8646973,5646720,5151650,9344620,5151650,2769736,2850244,2769736,19691991,28388852,19691991,43405580,40096223,43405580,69%,59%,69%,1994180,2398360,1994180,12612147,10127785,12612147,1098460,4227591,1098460,27700793,23342487,27700793,44%,34%,44%,1610128,2380276,1610128,6491435,7332382,6491435,5540159,4668497,5540159,17279327,13721884,17279327,27%,20%,27%,185026,265539,185026,8359026,5869138,8359026,37854973,31857440,37854973,-2004519,-1697991,-2004519,-7212143,-3431757,-7212143,-9216662,-5129748,-9216662,,,,,,,0,28638311,26727692,28638311,4621881,1732098,4621881,76078478,76086311,76078478,3463709,2892401,3463709,38860487,48034989,38860487,37217991,28051322,37217991
